año;mes;Privado general;Agrario;Microempresa;Pequeña empresa;"No 
especificado"
2023;OCT.;3,001,418;411,168;520,903;201,771;13,010
2023;NOV.;3,063,337;436,551;527,461;204,100;13,300
2023;DIC.;2,985,751;405,300;518,580;201,802;13,181
2024;ENE.;2,882,415;386,549;493,199;195,127;13,375
2024;FEB.;2,874,404;294,957;493,271;195,643;14,165
2024;MAR.;2,930,952;243,464;522,265;207,258;14,492
2024;ABR.;2,976,310;218,806;530,521;210,036;14,359
2024;MAY.;2,998,618;225,936;535,786;212,011;14,453
2024;JUN.;3,004,931;254,595;540,751;214,303;14,091
2024;JUL.;3,016,841;317,748;548,260;218,177;14,196
2024;AGO.;3,013,226;356,849;554,429;221,316;14,073
2024;SET.;3,040,823;465,431;560,185;222,401;14,148
2024;OCT.;3,073,142;538,499;566,874;224,535;14,019
2024;NOV.;3,073,379;559,294;572,945;225,237;13,906
2024;DIC.;3,065,139;515,734;571,306;226,032;13,604
2025;ENE.;3,022,945;513,377;554,547;221,304;12,904
2025;FEB.;2,974,300;373,336;553,391;223,109;12,692
2025;MAR.;3,039,906;312,068;584,455;235,471;12,749
2025;ABR.;3,076,098;266,808;590,662;238,135;12,790
2025;MAY.;3,098,854;273,834;598,864;239,540;12,718
2025;JUN.;3,106,340;315,376;606,002;242,236;12,704
2025;JUL.;3,112,838;392,063;612,459;243,491;12,612
2025;AGO.;3,108,095;469,284;618,805;245,607;12,615
