año;mes;Indeterminado;A plazo fijo;"No 
especificado"
2024;AGO.;1,233,278;2,912,366;14,249
2024;SET.;1,232,943;3,055,522;14,523
2024;OCT.;1,237,706;3,164,634;14,729
2024;NOV.;1,237,219;3,192,778;14,764
2024;DIC.;1,247,132;3,130,180;14,503
2025;ENE.;1,250,255;3,061,007;13,815
2025;FEB.;1,231,625;2,891,603;13,600
2025;MAR.;1,236,805;2,934,494;13,350
2025;ABR.;1,245,175;2,926,345;12,973
2025;MAY.;1,248,789;2,962,124;12,897
2025;JUN.;1,251,216;3,018,517;12,925
2025;JUL.;1,254,930;3,105,686;12,847
2025;AGO.;1,256,113;3,185,295;12,998
